road_name,road_ID,num_lanes_in,num_lanes_out,week_days_traffic_in,week_days_traffic_out,weekend_traffic_in,weekend_traffic_out,peak_traffic_time_in,peak_traffic_in,day_time_traffic_in,all_day_traffic_in,peak_traffic_time_out,peak_traffic_out,all_day_traffic_out,day_time_traffic_out,all_day_speed_in,all_day_speed_out,mor_speed_in,mor_speed_out,dt_speed_in,dt_speed_out,aft_speed_in,aft_speed_out
성산로,3005060,4,4,42731,42551,37620,36351,10,2638,28553,43341,17,2840,43889,26905,28.3,28.2,28,33.2,27.6,29.6,28.4,19.8
사직로,3100005,3,3,45811,39397,35798,33311,8,2990,29612,43452,17,2278,37770,23664,27.8,27.7,28,30.8,27.3,27.9,26.8,24.1
자하문로,3100012,2,2,19855,17758,15503,14159,7,1499,12980,18795,18,1313,16894,10154,26.5,30,25.8,35.4,23.7,28.1,27.8,26.8
율곡로,3100010,3,3,32719,28340,28156,24646,16,1766,19784,31436,16,1561,27089,17643,20,18.6,24.2,23.3,19.6,17.1,15.4,14.8
창경궁로,3005008,4,2,29226,17904,26415,16087,8,2157,18235,28398,19,1039,16999,9715,20.7,23.7,22.6,29.8,18.9,23.7,19.1,18.7
종로,3100013,4,4,34799,38599,30970,33857,14,1937,21961,34248,14,2148,37918,23950,20.2,20.7,23.1,28,18.5,18.7,17.7,16
퇴계로,3101011,3,2,24470,13065,20935,12243,10,1425,15548,23988,13,675,12511,7575,18.5,21.8,24.4,27,16.6,21.5,14.1,17.6
동호로,3005001,2,2,37938,37805,31872,29888,8,2142,23851,35517,15,2018,34829,22520,22.2,24,25,29.2,20.1,24,20.3,18.1
장충단로,3101021,3,3,25213,34095,20331,26016,9,1470,16079,24126,16,2068,32549,22360,21.9,24.4,28.1,30.2,19.9,23.8,19.3,18.7
세종대로,2005001,6,5,46226,43039,33049,31802,16,2735,30090,42640,11,2423,40269,27211,21.4,22.4,25.3,25,21.3,21.9,17.7,19.5
을지로,3101006,2,4,17271,20551,14306,15220,12,938,10197,16580,17,1111,18972,12098,20.7,21,25.9,27.1,20,20.1,15.9,17
소파로,3101005,1,1,17717,16848,10545,9392,8,1441,12742,16139,18,1380,15445,11878,23.9,26.9,29.9,31.2,22.7,23.9,19.1,26.9
진흥로,3100020,2,2,22465,24261,18118,21929,7,1696,14957,20874,18,1807,24219,15139,26.7,26.5,31.1,26.5,27.3,26.8,22.2,24.7
평창문화로,3100023,2,2,22158,15197,20973,13461,17,1556,15593,23254,18,1134,15407,10754,31.4,37.8,31.4,40.6,32.7,38.4,27.7,33.5
망우로,3005032,3,3,19709,18560,18760,17084,18,1442,12787,19438,7,1231,18067,12389,22,22.2,24.5,28.1,21.5,21.7,19.9,16.9
경춘북로,3197070,3,3,26521,19346,24151,17385,17,2245,19505,27676,7,1399,19196,13099,33.5,38.3,33.2,38.5,35.2,37.6,29.5,36.8
천호대로,2000008,6,6,37572,42173,32963,35134,18,2555,25835,37259,8,2710,41204,29305,26.6,26.3,29.6,29.1,26.7,26.2,22.7,22.4
화랑로,3005046,3,4,40452,22676,37291,20707,9,2249,25100,40066,17,1284,22249,13162,27.6,26.5,30,27.4,28.5,26.6,23,22.9
동소문로,3107003,3,3,32146,31857,27977,29405,8,1951,19072,31033,16,1753,31521,17697,19.7,21.6,18.6,30,19,20.5,19.6,14.1
도봉로,3005039,4,3,25791,26230,23856,24583,8,1510,16244,25340,18,1406,25873,15585,22.6,22.7,25.2,26.8,22.9,22.2,19.5,19.5
동일로,3000001,3,3,41207,36608,38633,33889,18,2482,23159,40513,10,1985,35672,21942,25,26.4,25.4,30.4,25.8,27.2,22.8,22
분당수서로,3123025,3,3,71230,83514,63537,75443,8,4062,78785,71442,9,4788,83230,53695,54.8,58.9,55.6,52.5,62.1,71.8,38.1,39.9
통일로,3000008,3,3,37480,32632,38670,33478,6,2107,22561,38027,21,1932,33450,18173,22.3,23.8,23.3,28.1,22.2,23.6,20.1,19.6
오리로,3000022,2,2,16497,14713,15458,13707,17,1110,10760,16119,8,940,14459,9688,28.8,28.2,31.3,24,31.5,29.5,20.7,28.1
연희로,3112019,3,3,20704,20675,19690,20717,19,1299,12600,20616,10,1132,20334,12671,23.2,21.5,24.2,24.7,22.8,22.1,21.7,17.9
금하로,3000024,3,3,22457,19010,19903,16690,8,1341,14108,19723,11,906,14738,10116,19.2,19,21.6,20.9,19.6,18.9,17.1,16.7
남부순환로,2000003,4,4,52114,55584,47349,49681,9,3231,33134,49548,18,2953,48308,30061,27.1,27.2,28.6,30.6,27.8,28.6,23.2,22.1
화곡로,3005069,3,3,23363,20815,22139,18330,15,1197,13920,21897,8,1104,18941,12351,23.9,24.3,24.3,27.4,24.2,27.4,22.1,17.5
경인로,3000028,4,3,24912,30469,23108,27999,7,1375,15174,24230,18,1761,30391,18334,18.9,21.6,18.7,26.5,19.1,21.7,19.1,16.9
김포대로,2209001,4,3,28200,24565,24233,22922,18,2157,20660,28981,18,1610,24514,16206,42.3,37.9,35.5,39.8,46.9,38.8,33.8,35.3
강서로,3115001,2,2,23401,20011,22479,19077,15,1159,13093,21626,9,1119,19974,12102,20.7,22,26,24.6,20.3,21.4,16,20.4
영등포로,3118022,3,3,31995,34152,27081,28069,9,2056,20815,30872,18,2453,32750,21140,22.3,25.3,23.4,29.9,21.7,25.7,21.6,21.5
서빙고로,3102004,3,4,49239,43901,45865,38793,17,2968,32764,51288,17,2687,44410,28730,31,35.5,35.1,39.3,32.8,36.2,22.1,30.9
뚝섬로,3103010,2,2,34960,35617,29118,31178,9,2537,25525,35873,16,2199,35895,23104,20.3,21.6,23.2,25.6,20.9,21.8,17.1,18.4
동부간선도로,,3,3,64452,62210,63493,60801,8,3095,35105,59840,21,3153,58765,31543,51.6,55.3,43.3,60.6,56.3,60.9,48.2,41.4
여의대방로,3118028,4,4,46017,50881,39458,42791,8,2724,29615,45479,18,3294,48345,29838,26.5,27.7,27.2,32.3,25.7,28.8,24.6,21.6
문성로,3117009,2,2,9458,9852,8460,9183,8,559,6047,9508,16,628,10223,6441,24.4,23.4,26.5,25.6,24.7,24.1,22,19.6
강남대로,2102004,5,5,31850,34495,31062,33473,16,1661,19410,33488,19,1655,33129,19267,20.6,22.5,26.5,27,19.6,21.7,16.6,19.3
사평대로,2121001,4,4,55652,49556,50086,44844,16,3051,33669,55226,10,2777,48783,31386,22.3,26.1,26.1,30.9,21.1,27.8,19,18.3
반포대로,2102006,4,5,55012,48115,46031,42068,7,3169,34648,53943,8,3270,48768,33674,25.9,24.4,32.1,28.8,25,24.4,18.4,19.2
언주로,3121025,3,3,39326,31995,31271,26804,9,2358,25294,36497,18,1984,30545,18687,28.1,29.2,32.3,34.1,28.5,29,22.7,25.1
밤고개로,3122003,4,4,21657,22485,15637,17655,18,1449,12554,17077,18,1478,19839,14387,29.3,32,29.9,33.1,31,33.1,24.5,28.1
테헤란로,3122010,4,4,34474,50290,29327,42847,14,1909,19639,32411,9,2725,47021,28949,19.2,21.2,24.7,27.9,20.8,18.2,15.9,15.2
백제고분로,3123006,4,3,22278,19945,20608,16719,18,1310,13706,22178,18,1316,19676,13797,20.9,20,23.2,23.2,20.6,19.5,19.1,17.8
