"","loc","go","ex"
"1","경기도 광주시 오포읍",19142,1405
"2","경기도 남양주시 진접읍",16620,3017
"3","경기도 남양주시 화도읍",14813,2856
"4","경기도 화성시 병점1동",13314,9724
"5","경기도 부천시 오정구 성곡동",12763,3828
"6","경기도 남양주시 별내면",12761,1723
"7","경기도 수원시 권선구 금호동",12635,714
"8","경기도 광주시 송정동",11676,1585
"9","경기도 화성시 봉담읍",11499,2247
"10","경기도 용인시 기흥구 동백동",11257,833
"11","경기도 남양주시 오남읍",11022,422
"12","경기도 화성시 동탄면",10862,1115
"13","경기도 수원시 권선구 서둔동",10528,4070
"14","경기도 안양시 동안구 관양1동",10465,2240
"15","경기도 하남시 신장2동",10146,936
"16","경기도 김포시 김포1동",9991,2438
"17","경기도 부천시 소사구 소사본3동",9918,407
"18","경기도 성남시 분당구 야탑2동",9916,589
"19","경기도 남양주시 와부읍",9862,1424
"20","경기도 의정부시 신곡1동",9799,970
"21","경기도 구리시 동구동",9732,2159
"22","경기도 수원시 팔달구 인계동",9634,2190
"23","경기도 안산시 단원구 원곡본동",9233,9312
"24","경기도 수원시 권선구 권선2동",9125,1156
"25","경기도 평택시 비전2동",9005,506
"26","경기도 광주시 경안동",8907,2949
"27","경기도 양주시 양주1동",8877,752
"28","경기도 의왕시 오전동",8818,979
"29","경기도 용인시 수지구 죽전1동",8638,1342
"30","경기도 의정부시 송산2동",8583,306
"31","경기도 수원시 장안구 영화동",8518,4072
"32","경기도 고양시 덕양구 행신2동",8325,482
"33","경기도 수원시 권선구 평동",8184,3697
"34","경기도 성남시 중원구 성남동",8015,9095
"35","경기도 군포시 군포2동",7935,1224
"36","경기도 안산시 단원구 초지동",7927,2515
"37","경기도 용인시 수지구 풍덕천2동",7924,2442
"38","경기도 시흥시 신천동",7911,1336
"39","경기도 오산시 대원동",7891,3423
"40","경기도 부천시 원미구 중1동",7887,4236
"41","경기도 화성시 동탄2동",7848,1774
"42","경기도 용인시 수지구 풍덕천1동",7840,1052
"43","경기도 수원시 영통구 영통2동",7830,3692
"44","경기도 고양시 일산서구 대화동",7757,7252
"45","경기도 성남시 중원구 금광2동",7703,5299
"46","경기도 부천시 오정구 고강본동",7691,596
"47","경기도 김포시 풍무동",7655,578
"48","경기도 성남시 중원구 하대원동",7645,1035
"49","경기도 오산시 신장동",7545,738
"50","경기도 남양주시 평내동",7494,904
"51","경기도 광주시 광남동",7419,827
"52","경기도 부천시 소사구 범박동",7369,402
"53","경기도 수원시 영통구 태장동",7341,3462
"54","경기도 용인시 기흥구 영덕동",7338,991
"55","경기도 광명시 소하2동",7314,1194
"56","경기도 용인시 수지구 상현2동",7160,274
"57","경기도 시흥시 연성동",7155,972
"58","경기도 시흥시 대야동",7087,624
"59","경기도 고양시 일산동구 백석1동",7057,2440
"60","경기도 수원시 권선구 세류2동",6906,1107
"61","경기도 부천시 오정구 원종1동",6874,647
"62","경기도 수원시 영통구 영통1동",6863,2063
"63","경기도 구리시 인창동",6861,3951
"64","경기도 성남시 분당구 정자1동",6736,4507
"65","경기도 안산시 단원구 와동",6734,120
"66","경기도 부천시 소사구 괴안동",6686,395
"67","경기도 성남시 중원구 은행2동",6617,604
"68","경기도 안산시 상록구 월피동",6537,310
"69","경기도 수원시 장안구 파장동",6513,903
"70","경기도 성남시 수정구 신흥2동",6483,4745
"71","경기도 부천시 원미구 상2동",6477,1026
"72","경기도 남양주시 진건읍",6468,1645
"73","경기도 안산시 상록구 본오1동",6432,488
"74","경기도 시흥시 정왕 1동",6413,1218
"75","경기도 성남시 중원구 상대원1동",6385,3494
"76","경기도 안양시 만안구 석수2동",6384,1043
"77","경기도 수원시 팔달구 화서1동",6376,576
"78","경기도 부천시 원미구 도당동",6350,506
"79","경기도 성남시 분당구 운중동",6338,1109
"80","경기도 의정부시 호원1동",6321,984
"81","경기도 성남시 수정구 복정동",6294,558
"82","경기도 수원시 장안구 정자1동",6201,585
"83","경기도 고양시 덕양구 관산동",6125,740
"84","경기도 광주시 초월읍",6063,808
"85","경기도 고양시 일산동구 중산동",6021,864
"86","경기도 부천시 소사구 송내2동",5982,310
"87","경기도 안산시 상록구 사1동",5979,900
"88","경기도 양주시 회천2동",5962,1022
"89","경기도 안양시 동안구 비산2동",5873,1550
"90","경기도 광명시 소하1동",5867,449
"91","경기도 안산시 상록구 본오2동",5846,351
"92","경기도 포천시 소흘읍",5824,1421
"93","경기도 구리시 교문2동",5813,180
"94","경기도 고양시 덕양구 고양동",5808,709
"95","경기도 시흥시 군자동",5792,928
"96","경기도 안성시 공도읍",5787,186
"97","경기도 남양주시 호평동",5732,490
"98","경기도 남양주시 도농동",5708,1385
"99","경기도 수원시 장안구 송죽동",5699,461
"100","경기도 수원시 장안구 정자3동",5689,360
"101","경기도 고양시 덕양구 행주동",5679,641
"102","경기도 안산시 단원구 선부3동",5634,1707
"103","경기도 파주시 금촌2동",5570,1069
"104","경기도 화성시 병점2동",5521,304
"105","경기도 수원시 권선구 구운동",5503,1518
"106","경기도 용인시 기흥구 구성동",5451,165
"107","경기도 수원시 팔달구 우만1동",5364,801
"108","경기도 구리시 수택3동",5357,792
"109","경기도 구리시 교문1동",5336,949
"110","경기도 안양시 동안구 호계3동",5322,914
"111","경기도 수원시 장안구 조원1동",5300,202
"112","경기도 수원시 팔달구 화서2동",5278,1150
"113","경기도 부천시 소사구 역곡3동",5255,3970
"114","경기도 의정부시 자금동",5221,1705
"115","경기도 수원시 영통구 매탄3동",5205,597
"116","경기도 남양주시 금곡동",5140,1135
"117","경기도 성남시 중원구 도촌동",5092,465
"118","경기도 하남시 덕풍3동",5081,207
"119","경기도 고양시 일산동구 장항2동",5059,2801
"120","경기도 용인시 기흥구 신갈동",5048,1342
"121","경기도 화성시 향남읍",5041,991
"122","경기도 수원시 장안구 정자2동",5034,268
"123","경기도 안양시 동안구 부림동",5021,597
"124","경기도 남양주시 퇴계원면",5018,1749
"125","경기도 고양시 일산서구 주엽2동",5014,1068
"126","경기도 안산시 상록구 사2동",5010,18
"127","경기도 성남시 분당구 분당동",4996,292
"128","경기도 성남시 분당구 야탑1동",4949,11240
"129","경기도 부천시 원미구 역곡2동",4946,1986
"130","경기도 성남시 분당구 서현1동",4935,4350
"131","경기도 부천시 원미구 심곡2동",4921,2592
"132","경기도 안양시 만안구 박달2동",4916,561
"133","경기도 부천시 소사구 심곡본1동",4908,1139
"134","경기도 의왕시 내손1동",4908,146
"135","경기도 고양시 일산서구 송산동",4904,599
"136","경기도 안양시 만안구 석수3동",4890,49
"137","경기도 의정부시 신곡2동",4884,413
"138","경기도 용인시 기흥구 상갈동",4853,1140
"139","경기도 안양시 만안구 안양9동",4834,162
"140","경기도 수원시 팔달구 매산동",4827,11328
"141","경기도 고양시 덕양구 화정1동",4822,299
"142","경기도 의왕시 청계동",4818,1344
"143","경기도 안양시 만안구 안양2동",4814,3223
"144","경기도 광명시 철산3동",4810,3553
"145","경기도 성남시 분당구 구미동",4797,3444
"146","경기도 수원시 영통구 매탄4동",4735,323
"147","경기도 안산시 상록구 일동",4718,951
"148","경기도 시흥시 목감동",4713,888
"149","경기도 고양시 일산서구 일산3동",4701,802
"150","경기도 부천시 오정구 신흥동",4695,1431
"151","경기도 양주시 백석읍",4673,276
"152","경기도 광명시 광명6동",4667,304
"153","경기도 수원시 권선구 곡선동",4666,786
"154","경기도 용인시 처인구 포곡읍",4646,683
"155","경기도 용인시 처인구 중앙동",4643,2349
"156","경기도 안양시 만안구 박달1동",4618,861
"157","경기도 광명시 하안1동",4617,259
"158","경기도 안양시 동안구 신촌동",4613,393
"159","경기도 파주시 조리읍",4588,792
"160","경기도 수원시 장안구 율천동",4586,3150
"161","경기도 의왕시 내손2동",4584,82
"162","경기도 성남시 중원구 상대원2동",4570,152
"163","경기도 용인시 처인구 역삼동",4533,294
"164","경기도 성남시 수정구 시흥동",4523,392
"165","경기도 안산시 단원구 선부2동",4522,387
"166","경기도 시흥시 은행동",4516,386
"167","경기도 용인시 기흥구 보정동",4495,1325
"168","경기도 성남시 중원구 상대원3동",4494,381
"169","경기도 의정부시 의정부1동",4480,5348
"170","경기도 양주시 회천3동",4477,394
"171","경기도 안양시 만안구 안양6동",4458,2471
"172","경기도 군포시 금정동",4456,411
"173","경기도 고양시 일산서구 일산2동",4445,564
"174","경기도 부천시 원미구 상3동",4427,2755
"175","경기도 성남시 수정구 신흥3동",4396,1018
"176","경기도 구리시 수택2동",4343,72
"177","경기도 부천시 오정구 오정동",4343,851
"178","경기도 부천시 원미구 상동",4322,707
"179","경기도 부천시 원미구 원미1동",4315,193
"180","경기도 용인시 기흥구 상하동",4305,146
"181","경기도 안산시 상록구 성포동",4301,1236
"182","경기도 성남시 분당구 서현2동",4264,688
"183","경기도 구리시 수택1동",4243,610
"184","경기도 안산시 상록구 본오3동",4236,3348
"185","경기도 군포시 군포1동",4214,1191
"186","경기도 파주시 문산읍",4201,1161
"187","경기도 성남시 분당구 이매1동",4170,2643
"188","경기도 하남시 덕풍1동",4162,652
"189","경기도 안양시 동안구 관양2동",4088,6358
"190","경기도 광명시 광명7동",4062,140
"191","경기도 군포시 오금동",4062,601
"192","경기도 안산시 단원구 호수동",4029,977
"193","경기도 용인시 기흥구 구갈동",3996,2914
"194","경기도 고양시 일산동구 마두1동",3978,2235
"195","경기도 부천시 오정구 고강1동",3968,613
"196","경기도 안양시 동안구 호계2동",3956,975
"197","경기도 시흥시 정왕 2동",3955,337
"198","경기도 김포시 고촌읍",3931,1654
"199","경기도 광명시 하안3동",3927,392
"200","경기도 성남시 분당구 금곡동",3924,3175
"201","경기도 하남시 덕풍2동",3899,116
"202","경기도 안산시 단원구 고잔2동",3881,1843
"203","경기도 안산시 상록구 부곡동",3872,319
"204","경기도 용인시 기흥구 마북동",3864,1039
"205","경기도 김포시 사우동",3842,1767
"206","경기도 고양시 일산동구 정발산동",3833,730
"207","경기도 용인시 수지구 성복동",3829,344
"208","경기도 평택시 신평동",3818,3681
"209","경기도 수원시 팔달구 우만2동",3792,1035
"210","경기도 군포시 산본2동",3770,141
"211","경기도 의왕시 고천동",3743,3167
"212","경기도 성남시 중원구 금광1동",3739,1192
"213","경기도 화성시 반월동",3731,716
"214","경기도 안산시 단원구 고잔1동",3730,1937
"215","경기도 오산시 중앙동",3702,841
"216","경기도 고양시 일산동구 풍산동",3682,94
"217","경기도 안양시 동안구 평안동",3679,1930
"218","경기도 수원시 팔달구 행궁동",3676,5061
"219","경기도 의정부시 송산1동",3667,872
"220","경기도 시흥시 정왕 3동",3662,358
"221","경기도 안양시 동안구 범계동",3657,5056
"222","경기도 고양시 일산서구 주엽1동",3646,1684
"223","경기도 광명시 광명4동",3631,2155
"224","경기도 수원시 팔달구 매교동",3629,1495
"225","경기도 광명시 하안2동",3597,132
"226","경기도 광명시 철산2동",3573,322
"227","경기도 고양시 일산서구 탄현동",3567,54
"228","경기도 평택시 중앙동",3549,502
"229","경기도 부천시 원미구 중동",3547,147
"230","경기도 성남시 분당구 삼평동",3543,9458
"231","경기도 광명시 하안4동",3539,71
"232","경기도 용인시 처인구 모현면",3512,328
"233","경기도 군포시 광정동",3487,1147
"234","경기도 수원시 영통구 매탄1동",3469,3082
"235","경기도 안양시 동안구 귀인동",3436,457
"236","경기도 부천시 소사구 심곡본동",3430,3999
"237","경기도 수원시 장안구 연무동",3424,252
"238","경기도 김포시 통진읍",3349,558
"239","경기도 부천시 원미구 역곡1동",3338,334
"240","경기도 군포시 재궁동",3294,1241
"241","경기도 고양시 덕양구 행신3동",3277,342
"242","경기도 성남시 분당구 구미1동",3274,1896
"243","경기도 평택시 세교동",3262,473
"244","경기도 수원시 권선구 권선1동",3252,372
"245","경기도 고양시 덕양구 화정2동",3231,525
"246","경기도 의정부시 가능1동",3204,790
"247","경기도 용인시 수지구 죽전2동",3189,3900
"248","경기도 부천시 오정구 원종2동",3181,106
"249","경기도 성남시 수정구 수진2동",3141,2078
"250","경기도 화성시 화산동",3102,230
"251","경기도 성남시 분당구 야탑3동",3084,572
"252","경기도 안양시 동안구 비산1동",3079,733
"253","경기도 용인시 수지구 동천동",3064,153
"254","경기도 수원시 권선구 세류3동",3019,164
"255","경기도 남양주시 지금동",2985,856
"256","경기도 부천시 원미구 상1동",2970,61
"257","경기도 시흥시 정왕본동",2968,1429
"258","경기도 의왕시 부곡동",2952,1343
"259","경기도 안양시 동안구 비산3동",2942,865
"260","경기도 안양시 만안구 안양5동",2921,1878
"261","경기도 하남시 풍산동",2913,1050
"262","경기도 부천시 원미구 중2동",2903,169
"263","경기도 안양시 동안구 부흥동",2899,844
"264","경기도 성남시 수정구 태평2동",2875,84
"265","경기도 안성시 안성2동",2875,651
"266","경기도 성남시 수정구 양지동",2858,514
"267","경기도 화성시 남양동",2827,988
"268","경기도 용인시 처인구 유림동",2820,130
"269","경기도 안양시 만안구 안양7동",2785,82
"270","경기도 부천시 원미구 심곡3동",2768,394
"271","경기도 군포시 산본1동",2753,3509
"272","경기도 성남시 수정구 태평3동",2749,355
"273","경기도 성남시 수정구 태평1동",2742,1083
"274","경기도 평택시 팽성읍",2742,43
"275","경기도 수원시 권선구 입북동",2733,176
"276","경기도 고양시 일산동구 식사동",2727,402
"277","경기도 광명시 철산1동",2714,57
"278","경기도 하남시 신장1동",2694,699
"279","경기도 성남시 분당구 정자3동",2686,208
"280","경기도 고양시 덕양구 성사1동",2667,838
"281","경기도 수원시 장안구 조원2동",2656,329
"282","경기도 안양시 동안구 평촌동",2608,182
"283","경기도 부천시 원미구 중3동",2604,1052
"284","경기도 안양시 만안구 안양1동",2591,6177
"285","경기도 시흥시 정왕 4동",2585,2066
"286","경기도 성남시 수정구 수진1동",2582,189
"287","경기도 시흥시 매화동",2576,589
"288","경기도 안양시 만안구 안양3동",2546,124
"289","경기도 평택시 비전1동",2531,72
"290","경기도 수원시 팔달구 지동",2480,521
"291","경기도 안산시 상록구 이동",2469,909
"292","경기도 이천시 부발읍",2469,202
"293","경기도 안양시 만안구 석수1동",2431,2026
"294","경기도 포천시 선단동",2421,138
"295","경기도 고양시 덕양구 원신동",2403,180
"296","경기도 성남시 분당구 정자2동",2371,51
"297","경기도 부천시 원미구 약대동",2347,354
"298","경기도 용인시 기흥구 기흥동",2329,216
"299","경기도 포천시 포천동",2272,284
"300","경기도 평택시 안중읍",2267,261
"301","경기도 양주시 회천1동",2241,2519
"302","경기도 군포시 궁내동",2238,40
"303","경기도 시흥시 신현동",2229,98
"304","경기도 성남시 수정구 신흥1동",2203,230
"305","경기도 용인시 수지구 상현1동",2194,360
"306","경기도 안양시 동안구 호계1동",2191,641
"307","경기도 부천시 원미구 중4동",2170,426
"308","경기도 안산시 단원구 원곡1동",2163,279
"309","경기도 오산시 초평동",2145,58
"310","경기도 성남시 중원구 은행1동",2139,32
"311","경기도 용인시 수지구 신봉동",2128,76
"312","경기도 이천시 증포동",2127,46
"313","경기도 안양시 만안구 안양8동",2115,388
"314","경기도 성남시 분당구 수내1동",2113,1276
"315","경기도 동두천시 송내동",2108,112
"316","경기도 군포시 수리동",2107,226
"317","경기도 부천시 원미구 춘의동",2091,2535
"318","경기도 안산시 상록구 반월동",2053,600
"319","경기도 용인시 처인구 이동면",2036,29
"320","경기도 고양시 일산동구 고봉동",2033,364
"321","경기도 김포시 김포2동",2015,34
"322","경기도 부천시 원미구 심곡1동",2004,155
"323","경기도 오산시 남촌동",1976,139
"324","경기도 양주시 광적면",1969,302
"325","경기도 의정부시 녹양동",1935,892
"326","경기도 안양시 만안구 안양4동",1907,1069
"327","경기도 안양시 동안구 달안동",1900,568
"328","경기도 수원시 영통구 매탄2동",1892,116
"329","경기도 평택시 서정동",1890,68
"330","경기도 의정부시 의정부2동",1880,383
"331","경기도 성남시 수정구 단대동",1874,375
"332","경기도 안성시 대덕면",1869,164
"333","경기도 부천시 원미구 원미2동",1867,22
"334","경기도 안산시 상록구 사3동",1866,48
"335","경기도 성남시 분당구 이매2동",1810,40
"336","경기도 성남시 분당구 수내3동",1795,136
"337","경기도 의정부시 가능2동",1773,168
"338","경기도 양주시 양주2동",1746,4265
"339","경기도 오산시 세마동",1735,363
"340","경기도 안양시 동안구 갈산동",1725,375
"341","경기도 파주시 탄현면",1634,22
"342","경기도 수원시 팔달구 고등동",1621,220
"343","경기도 평택시 송북동",1612,54
"344","경기도 시흥시 능곡동",1596,80
"345","경기도 양주시 장흥면",1589,126
"346","경기도 성남시 분당구 수내2동",1578,150
"347","경기도 파주시 파주읍",1575,322
"348","경기도 용인시 처인구 양지면",1561,23
"349","경기도 파주시 법원읍",1557,369
"350","경기도 고양시 일산동구 마두2동",1525,891
"351","경기도 용인시 기흥구 서농동",1506,70
"352","경기도 양주시 회천4동",1505,82
"353","경기도 성남시 수정구 산성동",1498,970
"354","경기도 안산시 단원구 선부1동",1489,58
"355","경기도 광주시 퇴촌면",1436,60
"356","경기도 연천군 전곡읍",1416,257
"357","경기도 고양시 덕양구 신도동",1412,374
"358","경기도 평택시 고덕면",1411,1294
"359","경기도 의정부시 가능3동",1406,504
"360","경기도 안산시 상록구 안산동",1400,56
"361","경기도 화성시 매송면",1395,22
"362","경기도 고양시 덕양구 주교동",1393,281
"363","경기도 이천시 중리동",1393,495
"364","경기도 부천시 원미구 소사동",1374,464
"365","경기도 하남시 천현동",1368,634
"366","경기도 과천시 별양동",1357,553
"367","경기도 성남시 수정구 태평4동",1355,12
"368","경기도 부천시 소사구 송내1동",1337,1311
"369","경기도 의정부시 의정부3동",1333,908
"370","경기도 광명시 광명2동",1328,194
"371","경기도 고양시 일산서구 송포동",1324,18
"372","경기도 고양시 일산서구 일산1동",1323,56
"373","경기도 평택시 지산동",1320,404
"374","경기도 고양시 덕양구 능곡동",1298,184
"375","경기도 평택시 포승읍",1275,41
"376","경기도 평택시 송탄동",1264,18
"377","경기도 광명시 광명1동",1261,4
"378","경기도 의정부시 장암동",1261,208
"379","경기도 포천시 신북면",1250,76
"380","경기도 고양시 덕양구 흥도동",1247,38
"381","경기도 과천시 부림동",1213,316
"382","경기도 광명시 광명5동",1205,97
"383","경기도 광명시 광명3동",1193,1330
"384","경기도 의정부시 호원2동",1186,50
"385","경기도 동두천시 소요동",1170,925
"386","경기도 고양시 일산동구 백석2동",1153,284
"387","경기도 화성시 기배동",1120,24
"388","경기도 수원시 권선구 세류1동",1056,42
"389","경기도 이천시 백사면",1022,20
"390","경기도 용인시 처인구 동부동",1019,173
"391","경기도 이천시 관고동",1019,170
"392","경기도 화성시 정남면",996,36
"393","경기도 동두천시 불현동",978,48
"394","경기도 김포시 월곶면",959,284
"395","경기도 김포시 대곶면",951,88
"396","경기도 이천시 창전동",950,612
"397","경기도 이천시 대월면",939,2
"398","경기도 평택시 청북면",932,22
"399","경기도 수원시 영통구 원천동",917,40
"400","경기도 안성시 안성3동",907,351
"401","경기도 남양주시 양정동",904,138
"402","경기도 파주시 광탄면",856,188
"403","경기도 과천시 과천동",844,1765
"404","경기도 평택시 진위면",844,604
"405","경기도 과천시 중앙동",839,169
"406","경기도 평택시 통복동",823,615
"407","경기도 구리시 갈매동",819,76
"408","경기도 화성시 송산면",804,100
"409","경기도 화성시 팔탄면",790,34
"410","경기도 안산시 단원구 원곡2동",785,26
"411","경기도 파주시 적성면",758,142
"412","경기도 안성시 안성1동",756,248
"413","경기도 파주시 월롱면",753,1645
"414","경기도 양주시 남면",736,64
"415","경기도 고양시 덕양구 성사2동",730,84
"416","경기도 동두천시 중앙동",685,252
"417","경기도 안성시 보개면",685,14
"418","경기도 평택시 오성면",682,68
"419","경기도 성남시 수정구 신촌동",673,10
"420","경기도 김포시 하성면",664,158
"421","경기도 용인시 처인구 백암면",655,106
"422","경기도 화성시 우정읍",655,48
"423","경기도 화성시 진안동",641,20
"424","경기도 양주시 은현면",632,40
"425","경기도 광주시 중부면",630,254
"426","경기도 이천시 마장면",629,561
"427","경기도 남양주시 수동면",625,4
"428","경기도 평택시 원평동",615,86
"429","경기도 가평군 청평면",614,170
"430","경기도 안성시 금광면",613,4
"431","경기도 포천시 가산면",595,11
"432","경기도 연천군 연천읍",580,8
"433","경기도 하남시 감북동",564,34
"434","경기도 안성시 죽산면",556,107
"435","경기도 이천시 신둔면",553,14
"436","경기도 화성시 비봉면",537,54
"437","경기도 포천시 내촌면",536,116
"438","경기도 과천시 문원동",535,142
"439","경기도 용인시 처인구 원삼면",535,32
"440","경기도 포천시 일동면",531,20
"441","경기도 과천시 갈현동",530,110
"442","경기도 군포시 대야동",530,423
"443","경기도 화성시 마도면",504,14
"444","경기도 안성시 미양면",459,2
"445","경기도 이천시 장호원읍",456,36
"446","경기도 광주시 도척면",452,2
"447","경기도 동두천시 생연2동",444,145
"448","경기도 가평군 가평읍",443,309
"449","경기도 고양시 덕양구 화전동",420,58
"450","경기도 안성시 일죽면",419,51
"451","경기도 용인시 처인구 남사면",419,16
"452","경기도 동두천시 보산동",410,30
"453","경기도 화성시 서신면",410,24
"454","경기도 양평군 용문면",408,64
"455","경기도 이천시 호법면",408,4
"456","경기도 화성시 장안면",405,20
"457","경기도 안성시 양성면",374,40
"458","경기도 양평군 양평읍",365,54
"459","경기도 파주시 파평면",357,8
"460","경기도 안성시 삼죽면",356,38
"461","경기도 양평군 양서면",352,89
"462","경기도 이천시 모가면",349,0
"463","경기도 하남시 춘궁동",346,38
"464","경기도 광명시 철산4동",336,0
"465","경기도 고양시 덕양구 창릉동",334,47
"466","경기도 연천군 청산면",326,16
"467","경기도 시흥시 과림동",323,104
"468","경기도 평택시 현덕면",319,0
"469","경기도 안산시 단원구 대부동",315,16
"470","경기도 포천시 이동면",303,1
"471","경기도 포천시 영중면",294,0
"472","경기도 안성시 원곡면",292,0
"473","경기도 양평군 서종면",281,54
"474","경기도 화성시 양감면",276,0
"475","경기도 남양주시 조안면",271,86
"476","경기도 연천군 신서면",267,0
"477","경기도 성남시 수정구 고등동",258,100
"478","경기도 포천시 군내면",244,2
"479","경기도 광명시 학온동",235,56
"480","경기도 가평군 상면",221,2
"481","경기도 가평군 북면",217,0
"482","경기도 양평군 지평면",202,0
"483","경기도 이천시 설성면",191,28
"484","경기도 평택시 서탄면",188,2
"485","경기도 안성시 서운면",180,0
"486","경기도 포천시 영북면",180,0
"487","경기도 가평군 설악면",177,6
"488","경기도 연천군 군남면",170,10
"489","경기도 포천시 창수면",154,4
"490","경기도 안성시 고삼면",142,0
"491","경기도 고양시 덕양구 효자동",137,8
"492","경기도 동두천시 상패동",135,0
"493","경기도 양평군 강하면",132,0
"494","경기도 양평군 옥천면",123,0
"495","경기도 파주시 교하동",122,0
"496","경기도 양평군 강상면",119,0
"497","경기도 연천군 백학면",117,0
"498","경기도 포천시 화현면",101,0
"499","경기도 양평군 단월면",98,0
"500","경기도 가평군 하면",90,4
"501","경기도 이천시 율면",76,4
"502","경기도 광주시 남종면",72,0
"503","경기도 평택시 신장2동",72,0
"504","경기도 연천군 미산면",69,0
"505","경기도 양평군 양동면",57,0
"506","경기도 양평군 개군면",45,0
"507","경기도 연천군 왕징면",43,0
"508","경기도 파주시 군내면",40,0
"509","경기도 하남시 초이동",36,0
"510","경기도 화성시 동탄3동",36,0
"511","경기도 고양시 덕양구 대덕동",33,6
"512","경기도 포천시 관인면",32,0
"513","경기도 화성시 동탄1동",30,2
"514","경기도 동두천시 생연1동",28,0
"515","경기도 연천군 장남면",12,0
"516","경기도 양평군 청운면",10,0
"517","경기도 파주시 진동면",10,0
"518","경기도 고양시 일산동구 장항1동",8,0
"519","경기도 여주시 대신면",8,0
"520","경기도 여주시 오학동",8,2
"521","경기도 여주시 능서면",6,0
"522","경기도 연천군 중면",6,0
